"Aset","Accepted","Conditional","Total","Min Harga","Max Harga","Median","Range/Median Ratio","Confidence","Alasan"
"Rumah Tipe 45/90","5","0","5","600000000","800000000","690000000","0.2899","TINGGI","accepted=5,ratio=0.290"
"Ruko 2 Lantai","3","2","5","828000000","2565000000","1800000000","0.9650","RENDAH","accepted=3,ratio=0.965"
"Tanah Kavling","1","4","5","200000000","300000000","250000000","0.4000","RENDAH","accepted=1,ratio=0.400"
"Toyota Avanza 2019","3","2","5","139000000","157000000","150000000","0.1200","TINGGI","accepted=3,ratio=0.120"
"Honda Beat 2021","3","2","5","12250000","14000000","12900000","0.1357","TINGGI","accepted=3,ratio=0.136"
"Mitsubishi Xpander 2018","1","4","5","175000000","182000000","179000000","0.0391","RENDAH","accepted=1,ratio=0.039"
"Laptop Lenovo ThinkPad 2021","3","2","5","4950000","6000000","5850000","0.1795","TINGGI","accepted=3,ratio=0.179"
"iPhone 12 128GB","5","0","5","4500000","6250000","5800000","0.3017","SEDANG","accepted=5,ratio=0.302"
"Kamera Canon EOS 700D","2","3","5","3000000","4000000","3300000","0.3030","SEDANG","accepted=2,ratio=0.303"
