ID,Nama,TOPSIS_Closeness
162,"Rumah Tipe 45/90",0.5317937335088131
163,"Ruko 2 Lantai",0.916356523111476
164,"Tanah Kavling",0.23590454560036633
165,"Toyota Avanza 2019",0.4976122693113176
166,"Honda Beat 2021",0.7311534697091587
167,"Mitsubishi Xpander 2018",0.2688465302908412
168,"Laptop Lenovo ThinkPad 2021",1
169,"iPhone 12 128GB",0.8265252215652467
170,"Kamera Canon EOS 700D",0.17347477843475337
